npn,municipio,direccion,ficha
050790001000000010167000000000,BARBOSA,VEREDA LA CHAPA ALTA,21371610
050790001000000020004000000000,BARBOSA,.,3007647
050790001000000210098000000000,BARBOSA,LOS ENCENILLOS AP A,3008253
050790001000000170075000000000,BARBOSA,S.N.,3005177
050790001000000170077000000000,BARBOSA,S.N.,3005179
050790001000000170091000000000,BARBOSA,VEREDA LAS PEÑAS,3005193
050790001000000020005000000000,BARBOSA,.,3007648
050790001000000020006000000000,BARBOSA,.,3007649
050790001000000020007000000000,BARBOSA,AP 2 SAN JUAN,3007650
050790001000000020007000000000,BARBOSA,AP 2 SAN JUAN,3007650
050790001000000020008000000000,BARBOSA,.,3007651
050790001000000020008000000000,BARBOSA,.,3007651
050790001000000020008000000000,BARBOSA,.,3007651
050790001000000020009000000000,BARBOSA,.,3007653
050790001000000020010000000000,BARBOSA,EL EDEN,3007654
050790001000000020010000000000,BARBOSA,EL EDEN,3007654
050790001000000020012000000000,BARBOSA,.,3007656
050790001000000020013000000000,BARBOSA,LA  ALEGRIA,3007657
050790001000000020016000000000,BARBOSA,LA HUERTA D ELOS NARANAJOS,3007661
050790001000000020016000000000,BARBOSA,LA HUERTA D ELOS NARANAJOS,3007661
050790001000000020017000000000,BARBOSA,.,3007662
050790001000000020020000000000,BARBOSA,ARLESTIN,3007665
050790001000000020022000000000,BARBOSA,ARLESTIN,3007667
050790001000000020023000000000,BARBOSA,.,3007668
050790001000000020023000000000,BARBOSA,.,3007668
050790001000000020026000000000,BARBOSA,LA COLEMANGA,3007671
050790001000000190071000000000,BARBOSA,S.N,3013013
050790001000000020030000000000,BARBOSA,.,3007675
050790001000000020035000000000,BARBOSA,.,3007680
050790001000000020036000000000,BARBOSA,EL  AGUACATE,3007681
050790001000000020037000000000,BARBOSA,.,3007682
050790001000000020038000000000,BARBOSA,.,3007683
050790001000000220220000000000,BARBOSA,S.N,3008579
050790001000000020039000000000,BARBOSA,ALTO BONITO,3007684
050790001000000020040000000000,BARBOSA,VILLA LAURA,3007685
050790001000000020042000000000,BARBOSA,LA MELLIZA,3007687
050790001000000020043000000000,BARBOSA,.,3007690
050790001000000020044000000000,BARBOSA,CHIRIMOYO,3007691
050790001000000020045000000000,BARBOSA,EL FALDON,3007692
050790001000000020046000000000,BARBOSA,.,3007693
050790001000000020046000000000,BARBOSA,.,3007693
050790001000000220236000000000,BARBOSA,TIERRA LINDA AP 27,3008595
050790001000000020047000000000,BARBOSA,EL ALTO DEL OSO,3007695
050790001000000020050000000000,BARBOSA,.,3007698
050790001000000020051000000000,BARBOSA,EL AGUACATE,3007699
050790001000000020051000000000,BARBOSA,EL AGUACATE,3007699
050790001000000020052000000000,BARBOSA,.,3007701
050790001000000020052000000000,BARBOSA,.,3007701
050790001000000020052000000000,BARBOSA,.,3007701
050790001000000020053000000000,BARBOSA,EL TORMENTO,3007702
050790001000000020054000000000,BARBOSA,.,3007703
050790001000000020055000000000,BARBOSA,.,3007704
050790001000000020058000000000,BARBOSA,EL PUENTE,3007708
050790001000000020058000000000,BARBOSA,EL PUENTE,3007708
050790001000000020058000000000,BARBOSA,EL PUENTE,3007708
050790001000000020059000000000,BARBOSA,EL CHUPADERO,3007709
050790001000000020059000000000,BARBOSA,EL CHUPADERO,3007709
050790001000000020063000000000,BARBOSA,LA MISERIA,3007713
050790001000000020064000000000,BARBOSA,.,3007715
050790001000000020068000000000,BARBOSA,LOS CERROS,3007719
050790001000000020068000000000,BARBOSA,LOS CERROS,3007719
050880100110600040015901170135,BELLO,CR 45 N 26-162 PI17 AP 1747 ED 6,3324135
050880100110600040015901161545,BELLO,CR 45 N 26-162 AP 1626 ED 4,13199186
050790001000000210035000000000,BARBOSA,EL MIRADOR,3008185
050790001000000020070000000000,BARBOSA,EL ROSARIO,3007721
050790001000000020071000000000,BARBOSA,S.N,3007722
050790001000000020074000000000,BARBOSA,EL CEDRO,3007725
050790001000000020077000000000,BARBOSA,.,3007728
050790001000000020080000000000,BARBOSA,MONTE VERDE,3007731
050790001000000020080000000000,BARBOSA,MONTE VERDE,3007731
050790001000000020081000000000,BARBOSA,.,3007732
050790001000000020083000000000,BARBOSA,.,3007734
050790001000000020083000000000,BARBOSA,.,3007734
050790001000000210158000000000,BARBOSA,S.N,3008320
050880100110600040015901170136,BELLO,CR 45 N 26-162 PI17 AP 1748 ED 6,3324136
050880100110600040015901170280,BELLO,CR 45 N 26-162 AP 1640 ED 5,3335029
050880100110600040015901171026,BELLO,CR 45 N 26-162 AP 1714 ED 2,159374
050880100110600040015901180137,BELLO,CR 45 N 26-162 PI18 AP 1841 ED 6,3324137
050880100110600040015901180139,BELLO,CR 45 N 26-162 PI18 AP 1843 ED 6,3324139
050880100110600040015901181036,BELLO,CR 45 N 26-162 AP 1816 ED 2,159384
050880100110600040015901181560,BELLO,CR 45 N 26-162 AP 1825 ED 4,13199216
050880100110600040015901181567,BELLO,CR 45 N 26-162 AP 1832 ED 4,13199230
050790001000000210145000000000,BARBOSA,S.N,3008303
050790001000000020084000000000,BARBOSA,EL PLAN,3007735
050790001000000020084000000000,BARBOSA,EL PLAN,3007735
050790001000000020085000000000,BARBOSA,ALTO BONITO,3007736
050790001000000020085000000000,BARBOSA,ALTO BONITO,3007736
050790001000000020086000000000,BARBOSA,.,3007737
050790001000000020087000000000,BARBOSA,.,3007739
050790001000000020089000000000,BARBOSA,.,3007742
050790001000000020088000000000,BARBOSA,LA QUIEBRA,3007741
050790001000000020090000000000,BARBOSA,.,3007743
050790001000000220064000000000,BARBOSA,S.N,3008416
050790001000000220064000000000,BARBOSA,S.N,3008416
050790002000000080140000000000,BARBOSA,AP 6,3008975
050790002000000080140000000000,BARBOSA,AP 6,3008975
050880100110600040015902250192,BELLO,CR 45 N 26-162 ED 7 AP 2556,5568419
050880100110600040015901190823,BELLO,CR 45 N 26-162 AP 1907 ED 1,3340980
050880100110600040015901191569,BELLO,CR 45 N 26-162 AP 1926 ED 4,13199234
050880100110600040015902010469,BELLO,CR 45 N 26-162 ED 7 CU 57,5568696
050880100110600040015902080053,BELLO,CR 45 N 26-162 ED 7 AP 853,5568280
050880100110600040015902120087,BELLO,CR 45 N 26-162 ED 7 AP 1255,5568314
050880100110600040015902160113,BELLO,CR 45 N 26-162 ED 7 AP 1649,5568340
050880100110600040015902160115,BELLO,CR 45 N 26-162 ED 7 AP 1651,5568342
050880100110600040015902210153,BELLO,CR 45 N 26-162 ED 7 AP 2149,5568380
